subProject,Sub Project Code,Community Type,Type,District,Contractor,Status,% Completion,Beneficiaries,subProject_clean,uuid,deviceId,subProject_LIPW,androidId,serial,osVersion,osName,device,model,user,host,lastConnected,location,deviceAccess,createUserId,createDate,updateUserId,lastUpdated,_merge
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Adaribe community",21153,Rural,Climate Change,EAST MAMPRUSI,,OnGoing,85.0,49,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at adaribe community,5B3A30FB-ABBD-4C73-B35C-C1C7F14914ED,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Adaribe community",3a50ade89916e584,3a50ade89916e584,4.19.127,Linux,FP08,FP08,,hby,2025-09-27 12:07:10.383,"10.520883333333332,-0.3969783333333333",2.0,0.0,2025-02-19 14:19:00,1138.0,2025-03-12 16:27:00,both
"Rehabilitation of 7.0 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at KONGO community",21160,Rural,Climate Change,TEMPANE,,OnGoing,30.1,47,rehabilitation of 70 ha degraded communal land using cashew trees including 25000 seedling nursery at kongo community,652D8CFC-9FFF-4B97-8284-2A085C5FAB04,RP1A.200720.011,"Rehabilitation of 7.0 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at KONGO community",fe385c3eea498439,fe385c3eea498439,4.19.127,Linux,M8,M8,,ekemp158,2025-09-22 08:43:02.127,"10.988439999999999,0.014498333333333334",2.0,0.0,2024-12-19 12:10:00,1138.0,2025-09-02 08:58:00,both
 Rehabilitation of Winkogo - Dapore Feeder Road (4.0km),21185,Rural,Feeder Road,TALENSI,Y. Bosuh Construction Works Limited,OnGoing,64.25,86,rehabilitation of winkogo  dapore feeder road 40km,08B3D42E-EF77-4BA1-89F4-16D636D9A1A8,RP1A.200720.011, Rehabilitation of Winkogo - Dapore Feeder Road (4.0km),8dacbf5afe45e9e3,8dacbf5afe45e9e3,4.19.127,Linux,M8,M8,,ekemp158,2025-03-09 16:31:07.440,"10.7454166,-0.8617048",2.0,0.0,2024-09-04 11:30:00,1138.0,2024-12-05 09:53:00,both
Rehabilitation of Small Earth Dam at Waku,21253,Rural,Dam,CHEREPONI,Asalima Enterprise ,OnGoing,42.2,215,rehabilitation of small earth dam at waku,A273070A-67F5-4D2B-AF3A-33311DBE326B,RP1A.200720.011,Rehabilitation of Small Earth Dam at Waku,f2f2f1f7caa7f940,f2f2f1f7caa7f940,4.19.127,Linux,FP08,FP08,,hby,2025-06-20 11:58:13.477,"10.5208383,-0.3969895",2.0,0.0,2025-02-07 16:41:00,1138.0,2025-02-07 16:42:00,both
Rehabilitation of Small Earth Dam at Nagani,21260,Rural,Dam,YUNYOO-NASUAN,Nasoen Gh Ltd,Dropped,0.0,117,rehabilitation of small earth dam at nagani,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Sambolgo-Moo,21267,Rural,Dam,BONGO,Sons of Jah Will,OnGoing,36.8,205,rehabilitation of small earth dam at sambolgomoo,9991F7AF-9085-4BC0-994E-569630762F7E,RP1A.200720.011,Rehabilitation of Small Earth Dam at Sambolgo-Moo,8dc03d4bf04bfdb5,8dc03d4bf04bfdb5,4.19.127,Linux,FP08,FP08,,hby,2025-03-19 14:03:43.370,"10.7986735,-0.8649316",2.0,0.0,2025-02-24 10:40:00,1138.0,2025-02-24 10:41:00,both
Rehabilitation of Small Earth Dam at Kolnaba,21278,Rural,Dam,PUSIGA,Marfu-Fataa Ent Enterprise,OnGoing,80.03,304,rehabilitation of small earth dam at kolnaba,2620FFE8-C82C-422C-B0B6-9115C966FF5B,RP1A.200720.011,Rehabilitation of Small Earth Dam at Kolnaba,3ec579ed9f67f83c,3ec579ed9f67f83c,4.19.127,Linux,FP08,FP08,,hby,2025-02-20 13:41:39.050,"10.7987061,-0.8648093",2.0,0.0,2025-02-20 13:40:00,1138.0,2025-02-20 13:41:00,both
Rehabilitation of Bimbago Bridge -Laapaak Feeder Road (5.40 Km),21453,Rural,Feeder Road,BUNKPURUGU,Abshi Enterprise Limited,OnGoing,51.5,266,rehabilitation of bimbago bridge laapaak feeder road 540 km,08DC1B1E-F762-4CEE-94FB-7F39A8868421,RP1A.200720.011,Rehabilitation of Bimbago Bridge -Laapaak Feeder Road (5.40 Km),0653d957ecbe469d,0653d957ecbe469d,4.19.127,Linux,FP08,FP08,,hby,2025-06-18 12:00:34.240,"9.42882,-0.84829",2.0,0.0,2025-02-07 13:25:00,1138.0,2025-06-18 03:53:00,both
Rehabilitation of Waaki  - Sook       Feeder Road (3.60 Km),21460,Rural,Feeder Road,TALENSI,Messrs Hartbarak Enterprise,OnGoing,82.75,221,rehabilitation of waaki  sook feeder road 360 km,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Kpentaung     ,21521,Rural,Dam,BUNKPURUGU,MURAAJA GH. LTD,OnGoing,32.0,188,rehabilitation of small earth dam at kpentaung,,,,,,,,,,,,,,,,,,,left_only
Construction of Small Earth Dam at Gotisaliga ,21528,Rural,Dam,BINDURI,Dambe Enterprise Limited,OnGoing,36.45,267,construction of small earth dam at gotisaliga,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Tongo Beo,21535,Rural,Dam,TALENSI,RYTETIME SOLUTIONS LIMITED,Dropped,0.0,0,rehabilitation of small earth dam at tongo beo,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 7.7HA CASHEW PLANTATION AT YIKURUGU ,20790,Rural,Climate Change,BAWKU WEST,,Terminated,41.45,23,maintenance of 77ha cashew plantation at yikurugu,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 4.6 HA CASHEW PLANTATION AT KPARIKPII ,20803,Rural,Climate Change,NABDAM,,Terminated,33.8,18,maintenance of 46 ha cashew plantation at kparikpii,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 16.7HA CASHEW PLANTATION AT GUABULIGA ,20805,Rural,Climate Change,WEST MAMPRUSI,,Closed,55.05,42,maintenance of 167ha cashew plantation at guabuliga,B3C68455-81E1-4EF2-8892-8B14C26D8EC5,RP1A.200720.011, MAINTENANCE OF 16.7HA CASHEW PLANTATION AT GUABULIGA ,1f6a2edd708100d6,1f6a2edd708100d6,4.19.127,Linux,M8,M8,,ekemp158,2024-08-25 13:47:59.693,"10.413426666666664,-0.698355",2.0,0.0,2024-06-10 10:14:00,20.0,2024-08-09 21:02:00,both
 MAINTENANCE OF 7HA CASHEW PLANTATION AT BIMPELLA ,20807,Rural,Climate Change,PUSIGA,,Completed,100.0,22,maintenance of 7ha cashew plantation at bimpella,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Naturi -Tichangu Feeder Road (5.0km),20920,Rural,Feeder Road,CHEREPONI,Shamaha  Enterprise limited,OnGoing,63.0,150,rehabilitation of naturi tichangu feeder road 50km,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Gambaga - Zimasa Feeder Road (5.0km),20922,Rural,Feeder Road,EAST MAMPRUSI,Marnagan Co. Ltd,OnGoing,70.5,130,rehabilitation of gambaga  zimasa feeder road 50km,0276C03F-5A5B-4FA2-A4B9-3FB61E2ABC4F,RP1A.200720.011,Rehabilitation of Gambaga - Zimasa Feeder Road (5.0km),f9673f3a374ee2b9,f9673f3a374ee2b9,4.19.127,Linux,M8,M8,,ekemp158,2025-01-08 10:46:59.547,"10.542493333333335,-0.46443666666666666",2.0,0.0,2024-04-07 17:31:00,20.0,2024-10-03 06:47:00,both
Rehabilitation of Farfar- Walkman Feeder Road (5.0km),20924,Rural,Feeder Road,GARU,Step-Kulus Investment Limited ,OnGoing,57.75,276,rehabilitation of farfar walkman feeder road 50km,,,,,,,,,,,,,,,,,,,left_only
Completion of Small Earth Dam at Namongo,20954,Rural,Dam,YUNYOO-NASUAN,Kpannyaraga GH Ltd,OnGoing,80.2,150,completion of small earth dam at namongo,,,,,,,,,,,,,,,,,,,left_only
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Tengsung community",21154,Rural,Climate Change,GARU,,OnGoing,73.0,72,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at tengsung community,1B573FFB-6890-4C03-AE06-AD22B76D84AF,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Tengsung community",b356a7947445c9d7,b356a7947445c9d7,4.19.127,Linux,M8,M8,,ekemp158,2024-12-02 09:08:53.240,"10.7356075,-0.2134755",2.0,0.0,2024-06-18 14:40:00,20.0,2024-10-31 08:47:00,both
Rehabilitation of Dugout at Kuchuglim,21256,Rural,Dam,MAMPRUGU-MOAGDURI,Maligu Investment Limited ,OnGoing,32.0,124,rehabilitation of dugout at kuchuglim,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Guabuliga,21258,Rural,Dam,WEST MAMPRUSI,Awakwa Company LTD,Completed,100.0,184,rehabilitation of small earth dam at guabuliga,808F9684-AEEA-4C8B-9755-21A4EC156834,RP1A.200720.011,Rehabilitation of Small Earth Dam at Guabuliga,1534b3de638560fa,1534b3de638560fa,4.19.127,Linux,FP08,FP08,,hby,2025-04-24 13:54:03.827,"10.3566248,-0.793781",2.0,0.0,2025-04-24 11:46:00,1138.0,2025-04-24 11:51:00,both
Rehabilitation of Small Earth Dam at Pitengsa,21271,Rural,Dam,BUILSA SOUTH,A. Adnan Company Limited,Completed,90.0,300,rehabilitation of small earth dam at pitengsa,775BA78B-9C2F-493C-B43E-7F7402153C4B,EKEMP.M8.2020,Rehabilitation of Small Earth Dam at Pitengsa,8714d3e84efc0dc9,M820202206367,3.18.79,Linux,m8,M8,,android157,2025-03-29 14:04:26.283,"10.442383333333332,-1.32264",2.0,0.0,2025-03-04 10:46:00,1138.0,2025-03-04 10:48:00,both
Rehabilitation of Small Earth Dam at Duuri-Kangari,21273,Rural,Dam,GARU,NURASH COMPANY LTD.,OnGoing,45.4,193,rehabilitation of small earth dam at duurikangari,58512E39-BAF0-494E-98A0-63D2FBD920F9,RP1A.200720.011,Rehabilitation of Small Earth Dam at Duuri-Kangari,91e971ea28935e31,91e971ea28935e31,4.19.127,Linux,FP08,FP08,,hby,2025-05-16 13:05:35.377,"10.833564999999998,-0.17073166666666667",2.0,0.0,2025-02-10 17:17:00,20.0,2025-05-16 12:44:00,both
Rehabilitation of 10ha degraded land using Cashew fruit trees including nursery at Naadema,21288,Rural,Climate Change,BUILSA SOUTH,,OnGoing,55.0,87,rehabilitation of 10ha degraded land using cashew fruit trees including nursery at naadema,832CAC2F-A8A8-4CB8-AE0F-85D4E4C16C48,RP1A.200720.011,Rehabilitation of 10ha degraded land using Cashew fruit trees including nursery at Naadema,f615cf3d0ac059af,f615cf3d0ac059af,4.19.127,Linux,FP08,FP08,,hby,2025-09-10 07:26:41.367,"10.4522565,-1.3115299",2.0,0.0,2025-02-12 17:29:00,1138.0,2025-03-07 09:14:00,both
Rehabilitation of Nalerigu - Zaari   Feeder Road (5.00 Km),21456,Rural,Feeder Road,EAST MAMPRUSI,NAASOEN GHANA COMPANY LTD,OnGoing,55.5,117,rehabilitation of nalerigu  zaari feeder road 500 km,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Kongo Market - Pelungu   Feeder Road (5.00 Km),21458,Rural,Feeder Road,NABDAM,Legico Enterprise Ltd,OnGoing,44.04,196,rehabilitation of kongo market  pelungu feeder road 500 km,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Wulugu,21522,Rural,Dam,WEST MAMPRUSI,AFA INVESTMENTS LTD.,OnGoing,48.75,236,rehabilitation of small earth dam at wulugu,,,,,,,,,,,,,,,,,,,left_only
Construction of Small Earth Dam at Suamvusi     ,21524,Rural,Dam,YUNYOO-NASUAN,Vian Enterprise,OnGoing,15.2,215,construction of small earth dam at suamvusi,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 10HA CASHEW PLANTATION AT KUBUGU ,20802,Rural,Climate Change,MAMPRUGU-MOAGDURI,,Completed,100.0,29,maintenance of 10ha cashew plantation at kubugu,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Jadema-Buyinga Feeder Road (5.4km),20925,Rural,Feeder Road,MAMPRUGU-MOAGDURI,Maligu Investment Limited ,OnGoing,31.0,163,rehabilitation of jademabuyinga feeder road 54km,66F79024-4DA6-41AB-8201-44A187906C75,RP1A.200720.011,Rehabilitation of Jadema-Buyinga Feeder Road (5.4km),b7d0eb32e200b278,b7d0eb32e200b278,4.19.127,Linux,M8,M8,,ekemp158,2025-05-01 14:25:26.683,"10.239786666666667,-1.2743183333333334",2.0,0.0,2024-09-19 13:49:00,1138.0,2024-09-19 13:51:00,both
Rehabilitation of Zopeliga-Dagliga Basic School Feeder Road (4.0km),20927,Rural,Feeder Road,NABDAM,Gibs Agro and Consulting Services,OnGoing,60.0,90,rehabilitation of zopeligadagliga basic school feeder road 40km,25144D7D-55AF-4BAF-92F7-0CB3A3756A67,RP1A.200720.011,Rehabilitation of Zopeliga-Dagliga Basic School Feeder Road (4.0km),fef4f7bfdcc176f3,fef4f7bfdcc176f3,4.19.127,Linux,M8,M8,,ekemp158,2025-02-08 21:14:17.490,"10.82394,-0.7203833333333333",2.0,0.0,2024-04-08 17:32:00,20.0,2024-07-31 19:31:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Pusu Namongo  community",21159,Rural,Climate Change,TALENSI,,Completed,100.0,66,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at pusu namongo community,69ADEDC1-172C-4126-BE48-10AA43D73C60,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Pusu Namongo  community",dcf24fd2d6a746e9,dcf24fd2d6a746e9,4.19.127,Linux,M8,M8,,ekemp158,2025-06-12 17:12:34.530,"10.798665000000002,-0.86495",2.0,0.0,2025-06-12 16:54:00,1138.0,2025-06-12 16:55:00,both
"Rehabilitation of 8.8 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Kpinkpanyoung community",21161,Rural,Climate Change,TEMPANE,,OnGoing,83.0,68,rehabilitation of 88 ha degraded communal land using cashew trees including 25000 seedling nursery at kpinkpanyoung community,5BDA77DE-9603-45B0-8109-54BCCA13776F,EKEMP.M8.2020,"Rehabilitation of 8.8 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Kpinkpanyoung community",bafc4ab6dc75cbcf,M820202206345,3.18.79,Linux,m8,M8,,android157,2025-08-07 07:24:45.027,"10.810943333333334,-0.07671",2.0,0.0,2024-11-01 12:56:00,1138.0,2025-08-07 06:55:00,both
Rehabilitation of Small Earth Dam at Nabari,21259,Rural,Dam,WEST MAMPRUSI,Taweri Limited,Completed,91.2,123,rehabilitation of small earth dam at nabari,A38FD63D-AF3F-43E8-8CD6-AFDD77FC3EDC,RP1A.200720.011,Rehabilitation of Small Earth Dam at Nabari,241157fc7f6d8ace,241157fc7f6d8ace,4.19.127,Linux,FP08,FP08,,hby,2025-04-23 10:42:03.517,"10.374498333333333,-0.79189",2.0,0.0,2024-08-23 13:17:00,20.0,2024-09-30 20:52:00,both
Rehabilitation of Small Earth Dam at Balansa Bagumsa,21268,Rural,Dam,BUILSA NORTH,Ganwong Enterprise Limited,OnGoing,80.22,225,rehabilitation of small earth dam at balansa bagumsa,4501AF1C-EE48-46F9-8FE7-C7D78A8EC521,O11019,Rehabilitation of Small Earth Dam at Balansa Bagumsa,c2036f1a43f6334b,4SSSSC8HKV5HEITK,3.18.79,Linux,m8,M8,,android157,2025-07-02 13:30:04.827,"10.799380000000001,-0.8651633333333333",2.0,0.0,2025-03-13 10:23:00,1138.0,2025-03-13 10:24:00,both
Rehabilitation of Small Earth Dam at Wiaga Longsa,21270,Rural,Dam,BUILSA NORTH,Naram-Man Enterprise ,OnGoing,75.9,222,rehabilitation of small earth dam at wiaga longsa,,,,,,,,,,,,,,,,,,,left_only
Re-development of Old Sports Stadium at Awusuyeri,21293,Urban,Flood Mitigation Measures,BUILSA NORTH,Astee Company Limited,OnGoing,60.5,100,redevelopment of old sports stadium at awusuyeri,AD3BCE8F-2E76-4FCF-A546-BD5BF9AF8178,RP1A.200720.011,Re-development of Old Sports Stadium at Awusuyeri,13b23977a932f316,13b23977a932f316,4.19.127,Linux,FP08,FP08,,hby,2025-09-22 09:33:28.887,"10.7323434,-1.2838373",2.0,0.0,2024-08-15 09:37:00,1138.0,2025-08-02 12:25:00,both
Rehabilitation of Nakambo -Dabia    Feeder Road (5.00 Km),21459,Rural,Feeder Road,PUSIGA,Bandele Enterprise,OnGoing,35.44,148,rehabilitation of nakambo dabia feeder road 500 km,146DABCC-E6AE-4F7A-AA87-2468E689B063,RP1A.200720.011,Rehabilitation of Nakambo -Dabia    Feeder Road (5.00 Km),e2e6b55a1bc29f7e,e2e6b55a1bc29f7e,4.19.127,Linux,FP08,FP08,,hby,2025-09-16 10:22:26.313,"11.014306666666668,-0.14569166666666666",2.0,0.0,2025-01-30 12:34:00,1138.0,2025-03-13 04:32:00,both
Rehabilitation of Amoliga Jnc. - Ayarizumah's House     Feeder Road (5.00 Km),21461,Rural,Feeder Road,TEMPANE,Time Heals Enterprise Limited,OnGoing,27.0,214,rehabilitation of amoliga jnc  ayarizumahs house feeder road 500 km,BEF852E7-F3E2-415B-9B85-1E28958485B9,RP1A.200720.011,Rehabilitation of Amoliga Jnc. - Ayarizumah's House     Feeder Road (5.00 Km),f0868fd046f39c0f,f0868fd046f39c0f,4.19.127,Linux,FP08,FP08,,hby,2025-09-14 17:53:26.953,"10.849535,-0.14698",2.0,0.0,2024-12-12 10:15:00,1138.0,2025-03-11 14:53:00,both
Construction of Small Earth Dam at Boko ,21527,Rural,Dam,BINDURI,SUMMIT  DOU COMPANY LIMITED,OnGoing,50.0,203,construction of small earth dam at boko,DD26E528-0AB0-407E-9F49-2D203F83365A,RP1A.200720.011,Construction of Small Earth Dam at Boko ,e0f4adc066e4ba52,e0f4adc066e4ba52,4.19.127,Linux,FP08,FP08,,hby,2025-07-03 06:46:17.010,"10.994583333333333,-0.283695",2.0,0.0,2024-11-06 18:58:00,1138.0,2025-07-03 06:20:00,both
Rehabilitation of Small Earth Dam at Gorigo,21529,Rural,Dam,BONGO,MADUSON ENTERPRISE,OnGoing,54.45,193,rehabilitation of small earth dam at gorigo,291C2E0A-24BC-4552-A032-E710E86BEEA2,RP1A.200720.011,Rehabilitation of Small Earth Dam at Gorigo,8e920288f99711a9,8e920288f99711a9,4.19.127,Linux,FP08,FP08,,hby,2025-07-17 10:43:48.860,"10.937238333333335,-0.8241466666666667",2.0,0.0,2024-11-04 12:22:00,1138.0,2025-07-17 10:43:00,both
Construction of Small Earth Dam at Busnateng,21536,Rural,Dam,TEMPANE,Larodex Ltd,OnGoing,28.5,187,construction of small earth dam at busnateng,EC39A6F4-5316-4B8E-82B0-AE21ADB2AB14,RP1A.200720.011,Construction of Small Earth Dam at Busnateng,8585a4d20cbcb724,8585a4d20cbcb724,4.19.127,Linux,FP08,FP08,,hby,2025-03-19 15:57:56.867,"10.798778333333333,-0.8647666666666667",2.0,0.0,2025-02-19 12:01:00,1138.0,2025-03-19 15:45:00,both
MAINTENANCE OF 3.5HA CASHEW PLANTATION AT MANTANA,20809,Rural,Climate Change,YUNYOO-NASUAN,,Completed,100.0,12,maintenance of 35ha cashew plantation at mantana,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Sanabiisi -Kabre - Akulyor Feeder Road (5.0km),20916,Rural,Feeder Road,BONGO,Tuniyu Enterprise ,OnGoing,72.5,116,rehabilitation of sanabiisi kabre  akulyor feeder road 50km,AAC13B00-182D-4A76-82FC-9FCC94FB0790,RP1A.200720.011,Rehabilitation of Sanabiisi -Kabre - Akulyor Feeder Road (5.0km),cc3a4cc334c75cc7,cc3a4cc334c75cc7,4.19.127,Linux,M8,M8,,ekemp158,2025-02-04 14:38:19.817,"10.798671666666667,-0.8646866666666667",2.0,0.0,2025-01-10 13:39:00,1138.0,2025-01-10 14:43:00,both
Rehabilitation of Doninga - Banyangsa Feeder Road (4.0km),20918,Rural,Feeder Road,BUILSA SOUTH,Dambe Enterprise Limited,OnGoing,60.0,116,rehabilitation of doninga  banyangsa feeder road 40km,BCC9FCA5-6864-476D-B7DB-57916B6A041E,RP1A.200720.011,Rehabilitation of Doninga - Banyangsa Feeder Road (4.0km),94a490f658f73874,94a490f658f73874,4.19.127,Linux,M8,M8,,ekemp158,2025-06-03 21:33:29.923,"10.442121666666667,-1.3230700000000002",2.0,0.0,2025-03-03 13:10:00,1138.0,2025-03-03 13:32:00,both
Completion of Small Earth Dam at Agargo,20952,Rural,Dam,BAWKU WEST,Dambe Enterprise Limited,Completed,100.0,185,completion of small earth dam at agargo,641CC1BF-900C-47AF-881A-9D53F0EE9EF7,RP1A.200720.011,Completion of Small Earth Dam at Agargo,d4ee92fb5fc3895c,d4ee92fb5fc3895c,4.19.127,Linux,M8,M8,,ekemp158,2024-11-04 13:02:47.347,"10.932087,-0.4999448",2.0,0.0,2024-04-26 14:09:00,20.0,2024-10-16 10:16:00,both
Rehabilitation of Gbingbalanchet - Bimbago Feeder Road Phase 1 (5.0km),21118,Rural,Feeder Road,YUNYOO-NASUAN,Martmell Enterprise,OnGoing,61.25,143,rehabilitation of gbingbalanchet  bimbago feeder road phase 1 50km,4DBC7F84-1D7C-4C5F-AF59-3DFEA56B31F5,RP1A.200720.011,Rehabilitation of Gbingbalanchet - Bimbago Feeder Road Phase 1 (5.0km),13029ae4d8311bcf,13029ae4d8311bcf,4.19.127,Linux,M8,M8,,ekemp158,2025-09-26 14:04:26.810,"10.523891666666668,-0.068825",2.0,0.0,2024-04-20 09:46:00,20.0,2025-01-19 08:19:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bador",21145,Rural,Climate Change,BAWKU ,,OnGoing,69.0,67,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at bador,DD12B210-6D57-470C-B480-99FA9067DC60,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bador",ff5225949dd81c87,ff5225949dd81c87,4.19.127,Linux,M8,M8,,ekemp158,2025-09-02 06:57:36.543,"11.143421666666665,-0.242935",2.0,0.0,2025-04-25 13:39:00,1138.0,2025-09-02 06:50:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Wiaga Chiok community",21150,Rural,Climate Change,BUILSA NORTH,,OnGoing,40.0,66,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at wiaga chiok community,AF7181BD-05A1-4437-9313-8CDD6E1001B4,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Wiaga Chiok community",996e29af5928714a,996e29af5928714a,4.19.127,Linux,M8,M8,,ekemp158,2025-09-04 07:54:26.760,"10.672241666666666,-1.2377966666666667",2.0,0.0,2023-12-26 17:05:00,20.0,2025-07-24 11:27:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nanyiar community",21152,Rural,Climate Change,BUNKPURUGU,,OnGoing,70.2,83,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at nanyiar community,76B03A16-8121-4511-92C8-43D0A9F7A792,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nanyiar community",d001e8dc219c3fa9,d001e8dc219c3fa9,4.19.127,Linux,M8,M8,,ekemp158,2025-09-18 05:59:17.887,"10.521926666666666,0.09317833333333334",2.0,0.0,2024-09-19 15:42:00,1138.0,2025-08-08 09:11:00,both
Rehabilitation of Wiidi - Kutanga - Buzunde Feeder Road (5.8km) ,21184,Rural,Feeder Road,BAWKU ,Dipama Investment GH Ltd,OnGoing,68.5,131,rehabilitation of wiidi  kutanga  buzunde feeder road 58km,FF53A244-8E8A-4466-B567-AAC1CD5B64D4,RP1A.200720.011,Rehabilitation of Wiidi - Kutanga - Buzunde Feeder Road (5.8km) ,8126e7cbf8ce4c37,8126e7cbf8ce4c37,4.19.127,Linux,FP08,FP08,,hby,2025-05-31 12:36:26.143,"10.608393333333334,-1.4221266666666668",2.0,0.0,2025-01-09 09:37:00,1138.0,2025-01-10 11:10:00,both
Rehabilitation of Small Earth Dam at Tusuk Konchian Gberuk,21252,Rural,Dam,BUNKPURUGU,Abshi Enterprise Limited,Completed,79.23,191,rehabilitation of small earth dam at tusuk konchian gberuk,472F9D11-4D45-4323-B945-4087F5E2B182,EKEMP.M8.2020,Rehabilitation of Small Earth Dam at Tusuk Konchian Gberuk,eea258ea4ec1bc6c,M820202206226,3.18.79,Linux,m8,M8,,android157,2025-08-02 19:46:30.433,"10.648883333333334,-0.071145",2.0,0.0,2024-12-30 13:13:00,20.0,2025-02-03 12:02:00,both
Rehabilitation of Small Earth Dam at Gbandabila ,21254,Rural,Dam,EAST MAMPRUSI,Kpannyaraga GH Ltd,OnGoing,72.6,97,rehabilitation of small earth dam at gbandabila,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Dugout at Kugri,21275,Rural,Dam,NABDAM,Kebule Enterprise ,Completed,100.0,125,rehabilitation of dugout at kugri,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Kouse,21277,Rural,Dam,PUSIGA,Bere-Som Company Limited ,OnGoing,44.0,298,rehabilitation of small earth dam at kouse,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Pusu Namongo  ,21279,Rural,Dam,TALENSI,Tengzug Investment,OnGoing,60.2,312,rehabilitation of small earth dam at pusu namongo,981C842E-D0B8-4958-939D-3607713BE37F,EKEMP.M8.2020,Rehabilitation of Small Earth Dam at Pusu Namongo  ,7fdfac886df16dd4,M820202206306,3.18.79,Linux,m8,M8,,android157,2025-04-25 11:40:53.433,"10.797968333333332,-0.8623916666666667",2.0,0.0,2025-02-04 15:27:00,1138.0,2025-02-04 15:30:00,both
Rehabilitation of Luisa - Suik   Feeder Road (5.00 Km),21452,Rural,Feeder Road,BUILSA SOUTH,ALPHALIM COMPANY LTD,OnGoing,43.9,216,rehabilitation of luisa  suik feeder road 500 km,87C8202E-F736-42E0-B3E5-F75C510F393E,RP1A.200720.011,Rehabilitation of Luisa - Suik   Feeder Road (5.00 Km),583803c23004a8b6,583803c23004a8b6,4.19.127,Linux,FP08,FP08,,hby,2025-05-24 06:51:07.027,"10.44991,-1.3110849999999998",2.0,0.0,2025-01-20 16:32:00,1138.0,2025-03-05 17:36:00,both
Rehabilitation of Gbankoni - Gbaduak Nasiabouk Feeder Road (5.40 Km),21454,Rural,Feeder Road,BUNKPURUGU,Messrs Olamsa Construction & Trading Limited,OnGoing,52.5,273,rehabilitation of gbankoni  gbaduak nasiabouk feeder road 540 km,D62EB47B-F66A-4753-A5C1-A5E307728C6A,RP1A.200720.011,Rehabilitation of Gbankoni - Gbaduak Nasiabouk Feeder Road (5.40 Km),1292e475f2d854ef,1292e475f2d854ef,4.19.127,Linux,FP08,FP08,,hby,2025-06-11 12:26:30.907,"10.59408,0.03717166666666667",2.0,0.0,2025-03-04 18:07:00,1138.0,2025-05-15 14:38:00,both
